customer_id,day_of_week,time_of_day,location,weather,payment_method,zone_type,gender,trip_type,avg_trips_per_week,avg_estimated_price,avg_spent_per_week,last_trip_days_ago,tenure_days,churn_prob,churn
CUST00059,Friday,Evening,Hyderabad,Cloudy,Card,Commercial,Female,Auto,0,46.16,-37.11,4,43,0.56444553,1
CUST00060,Thursday,Morning,Kolkata,Clear,UPI,Commercial,Female,Auto,7.63,30,245.51,3,430,0.012519414,0
CUST00061,Friday,Afternoon,Hyderabad,Cloudy,Cash,Mixed,Male,Taxi,4.94,69.06,320.49,1,283,0.121391986,0
CUST00062,Saturday,Morning,Pune,Cloudy,Card,Commercial,Male,Auto,4.66,59.3,293.5,16,148,0.236157727,0
CUST00063,Friday,Night,Hyderabad,Cloudy,UPI,Residential,Male,Auto,3.47,49.98,222.84,17,743,0.115533936,0
CUST00064,Saturday,Night,Pune,Clear,Card,Residential,Male,Auto,11.12,56.67,622.4,2,781,0.001147947,0
CUST00065,Wednesday,Afternoon,Kolkata,Clear,Cash,Commercial,Female,Taxi,1.77,56.11,53.71,4,71,0.599712103,1
CUST00066,Wednesday,Evening,Ahmedabad,Foggy,Cash,Commercial,Female,Auto,4.4,50.13,260.5,6,481,0.072225913,0
CUST00067,Sunday,Morning,Mumbai,Cloudy,UPI,Commercial,Male,Auto,6.3,62.6,468.99,29,97,0.240740409,0
CUST00068,Tuesday,Night,Pune,Rainy,Cash,Commercial,Female,Auto,0.25,46.46,2.42,9,441,0.55972191,0
CUST00069,Tuesday,Afternoon,Delhi,Clear,UPI,Residential,Female,Taxi,2.29,80.93,187.06,8,372,0.393634984,0
CUST00070,Saturday,Afternoon,Pune,Clear,Cash,Residential,Male,Auto,4.44,60.47,273.92,10,796,0.042365116,0
CUST00071,Wednesday,Night,Kolkata,Clear,Cash,Residential,Male,Taxi,3.64,62.76,132.82,1,286,0.154841728,0
CUST00072,Tuesday,Night,Mumbai,Clear,Cash,Commercial,Female,Auto,1.62,45.26,91.75,5,165,0.418961004,0
CUST00073,Saturday,Morning,Bangalore,Clear,UPI,Commercial,Male,Auto,1.68,42.71,92.65,5,295,0.266800133,1
CUST00074,Tuesday,Afternoon,Pune,Clear,Cash,Commercial,Female,Auto,1.75,32.07,122.38,10,427,0.252259165,0
CUST00075,Wednesday,Evening,Hyderabad,Foggy,Cash,Residential,Male,Taxi,4.09,84.91,307.34,1,150,0.08346016,0
CUST00076,Tuesday,Morning,Ahmedabad,Rainy,Card,Commercial,Male,Auto,7.27,40.57,333.88,15,90,0.145431341,0
CUST00077,Monday,Afternoon,Delhi,Cloudy,Cash,Commercial,Female,Taxi,6.45,74.38,498.33,7,10,0.083104358,0
CUST00078,Friday,Morning,Ahmedabad,Clear,Cash,Residential,Female,Auto,1.25,30.1,36.48,12,444,0.386117056,0
CUST00079,Friday,Morning,Pune,Clear,Card,Residential,Female,Taxi,2.45,89.21,256.61,12,146,0.275984277,1
CUST00080,Sunday,Afternoon,Delhi,Clear,Card,Residential,Male,Auto,4.19,38.59,133.68,5,242,0.207140129,0
CUST00081,Wednesday,Morning,Mumbai,Clear,Card,Commercial,Male,Auto,6.66,90.66,592.92,6,118,0.055557303,0
CUST00082,Wednesday,Morning,Delhi,Foggy,UPI,Commercial,Female,Auto,4.72,78.69,394.89,3,348,0.042199057,0
CUST00083,Thursday,Night,Hyderabad,Clear,Cash,Commercial,Other,Auto,4.25,64.39,197.66,24,152,0.351154654,0
CUST00084,Sunday,Night,Pune,Clear,UPI,Mixed,Female,Auto,2.91,55.05,114.58,40,184,0.83412498,1
CUST00085,Thursday,Morning,Mumbai,Clear,Cash,Mixed,Male,Auto,3.51,41.29,179.59,9,80,0.128664771,0
CUST00086,Friday,Evening,Kolkata,Rainy,Card,Mixed,Female,Auto,3.78,46.86,196.78,11,459,0.142677719,0
CUST00087,Tuesday,Morning,Chennai,Clear,Cash,Residential,Male,Taxi,0,83.55,-4.17,5,673,0.379235372,1
CUST00088,Thursday,Afternoon,Ahmedabad,Clear,Card,Commercial,Female,Auto,5.6,72.01,397.88,17,317,0.132764622,1
CUST00089,Wednesday,Afternoon,Pune,Cloudy,Card,Mixed,Male,Auto,7.13,49.8,241.8,36,270,0.339936621,0
CUST00090,Thursday,Morning,Mumbai,Clear,Cash,Commercial,Female,Taxi,1.63,84.93,147.11,4,82,0.161723095,0
CUST00091,Sunday,Evening,Hyderabad,Cloudy,Cash,Residential,Female,Taxi,4.33,76.82,357.61,6,321,0.053111606,0
CUST00092,Tuesday,Afternoon,Delhi,Clear,Cash,Commercial,Male,Auto,10.83,30,355.75,4,249,0.01241294,0
CUST00093,Tuesday,Night,Hyderabad,Rainy,Cash,Commercial,Female,Taxi,6.36,76.45,397.48,26,37,0.28643083,0
CUST00094,Tuesday,Morning,Delhi,Clear,UPI,Residential,Female,Auto,4.14,37.75,98.95,5,74,0.167331476,0
CUST00095,Tuesday,Afternoon,Ahmedabad,Clear,Cash,Residential,Male,Taxi,5.03,46.79,252.57,0,186,0.08189293,0
CUST00096,Saturday,Night,Kolkata,Clear,Card,Commercial,Male,Auto,7.93,49.18,446.72,14,90,0.080490225,0
CUST00097,Monday,Morning,Delhi,Clear,Cash,Residential,Female,Taxi,2.08,69.83,171.75,2,1255,0.028319635,0
CUST00098,Friday,Afternoon,Pune,Clear,Card,Residential,Male,Taxi,4.08,61.7,210.07,24,29,0.381011603,1
CUST00099,Monday,Morning,Kolkata,Rainy,Card,Residential,Female,Auto,5.05,48.21,302.12,15,1167,0.014893669,0
CUST00100,Sunday,Night,Kolkata,Cloudy,Card,Residential,Male,Taxi,8.22,80.03,672.26,46,234,0.401407661,0
CUST00101,Tuesday,Evening,Ahmedabad,Rainy,Cash,Residential,Male,Auto,1.97,41.93,144.22,1,95,0.28201087,0
CUST00102,Saturday,Night,Kolkata,Clear,UPI,Commercial,Female,Auto,7.2,33.08,213.63,19,494,0.129051935,0
CUST00103,Monday,Night,Hyderabad,Clear,Cash,Residential,Male,Taxi,1.99,81.9,133.58,4,91,0.194627455,0
CUST00104,Wednesday,Morning,Delhi,Clear,Cash,Mixed,Male,Auto,9.81,37.7,375.46,7,197,0.017001961,0
CUST00105,Monday,Night,Kolkata,Clear,Card,Mixed,Male,Taxi,1.38,70.15,68.61,3,162,0.222962362,0
CUST00106,Tuesday,Evening,Bangalore,Cloudy,Cash,Residential,Female,Auto,3.84,36.23,279.69,6,766,0.122691648,0
CUST00107,Friday,Afternoon,Hyderabad,Cloudy,Card,Residential,Female,Taxi,4.1,43.45,128.79,8,231,0.443415785,0
CUST00108,Sunday,Night,Hyderabad,Clear,Cash,Commercial,Male,Auto,3.44,43.35,147,5,267,0.269118151,0
CUST00109,Thursday,Afternoon,Bangalore,Cloudy,Cash,Mixed,Female,Taxi,4.17,73.07,337.92,17,455,0.099347625,0
CUST00110,Wednesday,Evening,Chennai,Rainy,Cash,Residential,Female,Auto,9.22,46.12,499.12,2,121,0.008274379,0
CUST00111,Sunday,Evening,Delhi,Clear,UPI,Residential,Male,Taxi,1.66,70.38,128.49,2,57,0.324320522,0
CUST00112,Monday,Morning,Ahmedabad,Clear,UPI,Commercial,Female,Auto,3.79,60.18,209.59,2,65,0.172933094,1
CUST00113,Friday,Night,Chennai,Cloudy,Card,Mixed,Female,Auto,4.42,43.15,195.88,2,195,0.133193925,1
CUST00114,Tuesday,Evening,Chennai,Rainy,Card,Commercial,Male,Auto,0.45,56.8,3,12,543,0.472350723,0
CUST00115,Saturday,Afternoon,Delhi,Rainy,Cash,Mixed,Female,Auto,10.03,45.24,380.24,1,338,0.007329329,0
CUST00116,Tuesday,Night,Hyderabad,Clear,Cash,Mixed,Female,Auto,6.6,49.5,268.82,1,594,0.016961897,0
CUST00117,Thursday,Afternoon,Ahmedabad,Clear,Card,Mixed,Male,Auto,4.25,30,94.66,5,499,0.058846767,0
CUST00118,Monday,Afternoon,Kolkata,Cloudy,Cash,Mixed,Female,Auto,2.24,48.67,87.42,2,105,0.346722151,0
CUST00119,Sunday,Afternoon,Pune,Clear,Card,Commercial,Female,Auto,1.49,52.56,50.22,1,99,0.132081641,0
CUST00120,Tuesday,Evening,Delhi,Clear,Cash,Residential,Male,Taxi,1.97,81.32,179.4,1,385,0.177022879,1
CUST00121,Monday,Afternoon,Ahmedabad,Foggy,Cash,Residential,Female,Auto,0.89,67.83,91.59,11,500,0.381568601,1
CUST00122,Wednesday,Afternoon,Mumbai,Clear,UPI,Commercial,Female,Auto,5.4,53.08,262.63,18,190,0.171869081,0
CUST00123,Monday,Evening,Pune,Clear,Cash,Commercial,Female,Auto,5.01,59.91,324.77,1,293,0.086542282,0
CUST00124,Thursday,Morning,Ahmedabad,Cloudy,Cash,Residential,Female,Auto,7.96,49.51,420.9,2,31,0.049573245,0
CUST00125,Tuesday,Night,Mumbai,Clear,Cash,Commercial,Male,Auto,4.39,32.69,151.36,34,338,0.494952435,0
CUST00126,Sunday,Afternoon,Mumbai,Cloudy,UPI,Mixed,Male,Taxi,4.54,83.85,295.25,6,40,0.369707174,0
CUST00127,Saturday,Evening,Kolkata,Cloudy,Card,Mixed,Male,Auto,3.49,46.11,164.04,0,89,0.118680029,0
CUST00128,Sunday,Afternoon,Kolkata,Clear,Cash,Commercial,Female,Auto,9.25,62.69,595.81,6,98,0.014451263,0
CUST00129,Wednesday,Morning,Ahmedabad,Clear,Card,Residential,Male,Auto,3.15,33.87,118,0,229,0.123165831,0
CUST00130,Monday,Evening,Pune,Clear,Cash,Commercial,Other,Auto,2.29,38.92,58.36,7,545,0.28315587,1
CUST00131,Saturday,Evening,Bangalore,Clear,UPI,Commercial,Female,Auto,1.14,34.96,-47.25,27,35,0.8420982,0
CUST00132,Saturday,Afternoon,Ahmedabad,Clear,Cash,Commercial,Male,Auto,3.19,41.91,124.7,2,34,0.098937563,0
CUST00133,Wednesday,Afternoon,Ahmedabad,Clear,UPI,Residential,Male,Auto,5.01,48.53,210.73,20,337,0.17188696,0
CUST00134,Sunday,Evening,Bangalore,Rainy,UPI,Commercial,Female,Auto,4.96,49.41,240.39,4,170,0.075639548,0
CUST00135,Saturday,Morning,Ahmedabad,Cloudy,Card,Commercial,Male,Auto,3.17,34.45,104.84,8,121,0.468179638,1
CUST00136,Sunday,Afternoon,Mumbai,Clear,Cash,Residential,Female,Taxi,0.81,87.16,109.64,0,975,0.062567623,0
CUST00137,Wednesday,Night,Bangalore,Rainy,Cash,Commercial,Male,Auto,2.02,68.53,138.81,9,53,0.413376096,1
CUST00138,Saturday,Afternoon,Mumbai,Rainy,Cash,Residential,Male,Auto,6.57,38.75,229.31,0,65,0.024280108,0
CUST00139,Friday,Evening,Kolkata,Clear,Card,Residential,Female,Auto,5.37,50.84,297.75,11,184,0.131927864,1
CUST00140,Saturday,Afternoon,Mumbai,Clear,Card,Commercial,Male,Auto,5,36.47,104.7,0,14,0.247742801,0
CUST00141,Wednesday,Morning,Mumbai,Cloudy,UPI,Commercial,Female,Auto,3.81,35.45,126.32,2,21,0.131493491,0
CUST00142,Wednesday,Evening,Hyderabad,Cloudy,Card,Mixed,Female,Auto,9.48,66.79,613.8,0,278,0.011950994,0
CUST00143,Friday,Night,Mumbai,Clear,Card,Commercial,Female,Taxi,1.04,78.7,68.37,12,840,0.206465724,0
CUST00144,Thursday,Afternoon,Ahmedabad,Foggy,Card,Residential,Male,Taxi,2.31,66.69,95.98,1,73,0.26409472,0
CUST00145,Friday,Night,Hyderabad,Clear,Card,Residential,Female,Taxi,3.29,74.68,127.15,15,26,0.48650633,0
CUST00146,Wednesday,Evening,Delhi,Cloudy,UPI,Residential,Female,Auto,5.1,67.01,447.14,20,173,0.121280922,0
CUST00147,Tuesday,Night,Delhi,Clear,Cash,Residential,Male,Taxi,5,78.05,393.43,18,232,0.130124568,0
CUST00148,Friday,Morning,Chennai,Clear,Cash,Residential,Female,Taxi,1.54,67.59,83.63,10,356,0.252831012,1
CUST00149,Saturday,Evening,Bangalore,Clear,Cash,Commercial,Female,Auto,4.32,59.93,259.85,40,42,0.839507668,1
CUST00150,Sunday,Night,Mumbai,Rainy,Card,Residential,Female,Auto,3.9,48.29,193.65,13,286,0.308421681,1
CUST00151,Sunday,Night,Delhi,Clear,Cash,Mixed,Male,Auto,7.25,65.13,496.34,18,578,0.061950346,0
CUST00152,Monday,Evening,Delhi,Cloudy,Cash,Commercial,Male,Auto,4.44,58.33,173.17,9,116,0.275873589,0
CUST00153,Thursday,Night,Mumbai,Rainy,Cash,Residential,Male,Auto,0,66.24,-27.1,5,135,0.643936196,0
CUST00154,Saturday,Night,Chennai,Cloudy,Cash,Commercial,Female,Auto,6.69,80.31,450.37,12,231,0.029919035,0
CUST00155,Sunday,Afternoon,Ahmedabad,Rainy,Card,Residential,Male,Auto,9.44,30,306.65,1,14,0.013954956,0
CUST00156,Friday,Afternoon,Kolkata,Cloudy,Card,Residential,Male,Auto,9.62,37.5,468.85,4,619,0.004954747,0
CUST00157,Sunday,Afternoon,Chennai,Clear,UPI,Commercial,Female,Auto,4.01,47.05,229.91,5,196,0.150731109,0
CUST00158,Wednesday,Evening,Hyderabad,Clear,Card,Residential,Female,Auto,8.35,71.99,560.52,3,37,0.014889467,0
CUST00159,Thursday,Morning,Ahmedabad,Clear,UPI,Mixed,Female,Auto,4.59,48.68,174.91,10,239,0.083121808,0
CUST00160,Thursday,Night,Pune,Clear,Card,Mixed,Male,Auto,4.05,47.3,214.03,2,176,0.076439692,0
CUST00161,Tuesday,Afternoon,Delhi,Cloudy,Card,Commercial,Male,Taxi,0,90.37,71.8,17,324,0.542880578,0
CUST00162,Saturday,Morning,Mumbai,Cloudy,Card,Commercial,Female,Auto,4.76,69.3,234.41,20,25,0.290833791,0
CUST00163,Thursday,Evening,Ahmedabad,Cloudy,UPI,Residential,Female,Auto,5.19,53.16,266.9,8,128,0.148691037,0
CUST00164,Tuesday,Night,Delhi,Cloudy,Cash,Residential,Female,Auto,2.18,69.35,64.15,11,701,0.173044153,0
CUST00165,Monday,Evening,Hyderabad,Rainy,Cash,Residential,Male,Taxi,7.15,89.71,599.61,6,42,0.080660868,0
CUST00166,Friday,Evening,Kolkata,Clear,Cash,Mixed,Female,Auto,3.08,32.04,130.58,0,205,0.200830104,1
CUST00167,Tuesday,Evening,Mumbai,Foggy,UPI,Residential,Male,Auto,7.57,89.52,705.69,35,315,0.120437401,0
CUST00168,Thursday,Afternoon,Kolkata,Clear,Card,Commercial,Male,Taxi,3.89,68.21,239.63,8,520,0.122383728,0
CUST00169,Tuesday,Morning,Bangalore,Clear,Card,Commercial,Male,Auto,5.73,30,185.7,10,118,0.120847616,0
CUST00170,Sunday,Morning,Mumbai,Clear,Card,Commercial,Male,Auto,4.68,34.53,161.93,5,308,0.07490669,0
CUST00171,Tuesday,Evening,Hyderabad,Cloudy,UPI,Commercial,Other,Auto,5.83,66.44,416.51,30,110,0.319030281,0
CUST00172,Friday,Evening,Kolkata,Clear,Card,Residential,Male,Auto,4.13,44.91,140.8,31,194,0.568981418,0
CUST00173,Tuesday,Afternoon,Hyderabad,Clear,Card,Residential,Male,Auto,5.12,30,87.4,31,77,0.613799236,1
CUST00174,Friday,Afternoon,Chennai,Clear,Card,Mixed,Female,Auto,4.91,40.05,163.38,1,449,0.145325839,0
CUST00175,Wednesday,Morning,Pune,Clear,Cash,Commercial,Female,Auto,8,30,257.83,2,188,0.048506929,0
CUST00176,Tuesday,Morning,Chennai,Clear,Card,Commercial,Female,Taxi,3.69,68.81,297.27,1,659,0.031094602,0
CUST00177,Tuesday,Evening,Hyderabad,Clear,Card,Commercial,Female,Auto,1.71,48.02,93.31,3,41,0.203245171,0
CUST00178,Sunday,Evening,Kolkata,Clear,Cash,Commercial,Male,Taxi,3.18,109.26,284.48,15,352,0.381623129,0
CUST00179,Sunday,Afternoon,Mumbai,Clear,Cash,Mixed,Female,Auto,1.03,49.2,49.04,13,549,0.347478988,0
CUST00180,Thursday,Afternoon,Bangalore,Foggy,Card,Residential,Female,Auto,8.59,53.33,527.08,7,80,0.019758779,0
CUST00181,Saturday,Morning,Ahmedabad,Clear,Cash,Residential,Male,Taxi,2.25,90.32,301.43,39,321,0.856109955,1
CUST00182,Friday,Afternoon,Mumbai,Cloudy,Cash,Commercial,Male,Auto,7.77,72.52,583.9,1,236,0.016192586,0
CUST00183,Friday,Evening,Pune,Clear,UPI,Commercial,Female,Taxi,4.49,82.09,363.51,10,356,0.10472288,0
CUST00184,Monday,Afternoon,Bangalore,Clear,Card,Commercial,Male,Auto,3.1,48.86,128.75,23,247,0.379616459,1
CUST00185,Friday,Morning,Ahmedabad,Clear,Cash,Residential,Female,Taxi,1,83.85,105.96,5,80,0.222354014,0
CUST00186,Wednesday,Evening,Mumbai,Cloudy,UPI,Commercial,Male,Auto,3.23,42.16,112.63,1,361,0.080397323,0
CUST00187,Saturday,Morning,Ahmedabad,Clear,Card,Residential,Female,Auto,6.01,58.87,303.2,0,612,0.015243798,0
CUST00188,Saturday,Afternoon,Chennai,Clear,UPI,Commercial,Female,Auto,2.62,61.69,175.75,9,78,0.184115017,1
CUST00189,Monday,Evening,Mumbai,Clear,Card,Residential,Male,Auto,6.67,39.95,269.03,1,68,0.053038758,0
CUST00190,Sunday,Morning,Chennai,Cloudy,Card,Residential,Male,Taxi,1.26,74.03,111.54,25,153,0.739401741,0
CUST00191,Wednesday,Afternoon,Chennai,Clear,UPI,Residential,Male,Auto,3.3,49.23,189.87,9,254,0.299009451,0
CUST00192,Saturday,Afternoon,Chennai,Clear,UPI,Commercial,Male,Auto,7.01,30,174.79,9,22,0.063557033,0
CUST00193,Sunday,Morning,Mumbai,Cloudy,Cash,Residential,Male,Auto,6.58,41.39,330.63,3,271,0.015521786,0
CUST00194,Sunday,Morning,Chennai,Clear,Cash,Commercial,Male,Auto,2.68,68.12,294.49,5,126,0.205656613,0
CUST00195,Friday,Afternoon,Kolkata,Clear,Card,Commercial,Female,Auto,3.55,72.65,204.22,30,165,0.401613076,0
CUST00196,Thursday,Evening,Kolkata,Clear,Cash,Residential,Male,Auto,1.49,55.05,39.57,14,63,0.571067839,0
CUST00197,Friday,Night,Bangalore,Rainy,Card,Commercial,Female,Auto,2.64,36.85,80.58,16,78,0.584727704,0
CUST00198,Sunday,Evening,Delhi,Rainy,Cash,Commercial,Female,Auto,2.08,33.02,116.84,7,68,0.314519496,1
CUST00199,Wednesday,Evening,Hyderabad,Clear,Card,Residential,Male,Auto,5.51,58.31,291.86,1,291,0.049136265,0
CUST00200,Saturday,Afternoon,Hyderabad,Rainy,Card,Mixed,Male,Taxi,3.49,89.71,304.74,2,89,0.064024931,1
CUST00201,Monday,Morning,Ahmedabad,Clear,Card,Mixed,Male,Auto,8.02,49.48,302.5,28,67,0.14208713,0
CUST00202,Thursday,Evening,Hyderabad,Clear,Cash,Residential,Female,Auto,5.08,50.97,280.12,24,651,0.259043798,0
CUST00203,Monday,Morning,Hyderabad,Foggy,Cash,Commercial,Female,Auto,0,53.23,-46.42,1,141,0.548444436,0
CUST00204,Monday,Night,Delhi,Cloudy,Card,Commercial,Female,Auto,0.39,59.38,9.3,23,330,0.616565866,1
CUST00205,Wednesday,Morning,Mumbai,Cloudy,Card,Residential,Male,Auto,7.58,59.02,402.37,15,352,0.027421148,0
CUST00206,Thursday,Night,Delhi,Clear,Cash,Residential,Female,Auto,4.8,30,150.61,10,147,0.16848718,1
CUST00207,Sunday,Evening,Kolkata,Clear,UPI,Residential,Female,Auto,13.53,40.23,549.16,4,272,0.002760023,0
CUST00208,Saturday,Morning,Hyderabad,Clear,Cash,Commercial,Male,Taxi,0.96,56.28,89.36,4,106,0.330016911,0
CUST00209,Wednesday,Evening,Delhi,Clear,Cash,Commercial,Female,Auto,4.1,71.32,339.5,5,212,0.112096871,0
CUST00210,Tuesday,Afternoon,Mumbai,Clear,UPI,Residential,Female,Taxi,6.73,83.98,569.92,2,135,0.013702816,0
